frames/keypoints,nosex,nosey,leftEyex,leftEyey,rightEyex,rightEyey,leftEarx,leftEary,rightEarx,rightEary,leftShoulderx,leftShouldery,rightShoulderx,rightShouldery,leftElbowx,leftElbowy,rightElbowy,rightElbowy,leftWristx,leftWristy,rightWristx,rightWristy,leftHipx,leftHipy,rightHipx,rightHipy,leftKneex,leftKneey,rightKneex,rightKneey,leftAnklex,leftAnkley,rightAnklex,rightAnkley,neckx,necky
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,438.4309997558594,110.28755187988281,-1,-1,431.897216796875,105.44873809814453,-1,-1,420.9542541503906,108.37843322753906,-1,-1,411.427734375,133.58689880371094,-1,-1,-1,-1,-1,-1,-1,-1,444.5202331542969,233.2578582763672,413.15380859375,232.6303253173828,513.4645385742188,240.39013671875,363.4668273925781,274.3853759765625,501.64190673828125,321.1450500488281,280.677001953125,301.7912292480469,418.98199462890625,135.97543334960938
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,389.4227294921875,92.59423828125,-1,-1,366.5008544921875,55.02909851074219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,389.4227294921875,92.59423828125,-1,-1,366.5008544921875,55.02909851074219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,389.4227294921875,92.59423828125,-1,-1,366.5008544921875,55.02909851074219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,389.4227294921875,92.59423828125,-1,-1,366.5008544921875,55.02909851074219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,389.4227294921875,92.59423828125,-1,-1,366.5008544921875,55.02909851074219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,389.4227294921875,92.59423828125,-1,-1,366.5008544921875,55.02909851074219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,389.4227294921875,92.59423828125,-1,-1,366.5008544921875,55.02909851074219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,389.4227294921875,92.59423828125,-1,-1,366.5008544921875,55.02909851074219,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
